SMILES,heavy_atoms,PfDHFR_kcal,hDHFR_kcal,Selectivity_Index,Asp54_contacts,Glu30_contacts,PfDHFR_centroid_dist,hDHFR_centroid_dist,PfDHFR_nadph_min,hDHFR_nadph_min,mechanism
Cc1ccc2c(c1)[C@]1(C(=O)N2)C(c2ccc(Cl)cc2)C([N+](=O)[O-])C2CSCN21,28,-5.66,-3.184,2.476,0,0,7.774499022695304,5.4333792683375135,3.6979287445812146,6.268767342947098,SIZE-EXCLUSION
CC(C)(C)c1cc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(N5CCCCC5)nc34)c2)no1,36,-9.773,-7.407,2.3659999999999997,0,0,4.7708410763522675,3.910542455188896,3.1942157096852437,3.635360917433097,UNCLEAR
COc1ccc(N2C(=O)/C(=C3/C(=O)Nc4ccc(C)cc43)c3ccccc32)cc1,29,-9.738,-7.552,2.186,0,2,3.378483559451339,1.0562260198100315,2.9849629813449954,3.1893540098270683,UNCLEAR
Cc1cc(=O)c(Oc2ccc(Cl)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,26,-9.729,-7.827,1.9019999999999992,0,0,2.0351681877330603,2.589673493490831,3.635799499422376,3.2715907445767125,UNCLEAR
N#Cc1c(N2CCN(Cc3ccccc3)CC2)nc(=S)[nH]c1-c1ccccc1,28,-9.462,-7.023,2.439,0,0,3.4783824033020134,3.4310221974736463,3.084991734186657,4.2272384602716695,UNCLEAR
Cc1cc(Cn2c(=O)[nH]c3ccccc3c2=O)no1,19,-9.408,-8.013,1.3949999999999996,0,0,1.6778327448490782,2.304579167176028,3.001206590689819,3.295283447595974,UNCLEAR
O=C(c1ccc(Cn2c(=S)[nH]c3cc4c(cc3c2=O)OCO4)cc1)N1CCN(c2ccccc2)CC1,36,-9.132,-7.631,1.5009999999999994,2,0,2.667027358310527,2.6462996462919692,3.383530404769551,3.357744927775188,UNCLEAR
COc1ccc(S(=O)(=O)N2Cc3ccccc3CC2C(=O)N2CCOCC2)cc1OC,31,-8.895,-6.112,2.7829999999999995,3,0,2.683069665976337,1.958820011355686,3.061600071857851,3.1025745760577625,UNCLEAR
CC1(C)CC12NC(=O)N(N1C(=O)c3ccccc3C1=O)C2=O,22,-8.469,-6.82,1.6489999999999991,0,1,1.473129642982146,2.984552277488459,3.272008863068684,3.115390665711123,UNCLEAR
C#CC(C(=O)Nc1ccc(N2C(=O)c3c(F)c(F)c(F)c(F)c3C2=O)c(F)c1)C(C)(C)C,32,-8.464,-6.416,2.048,1,0,3.023598591692502,3.88801507117247,3.398899233575486,3.821133470581733,UNCLEAR
CN1C(=O)[C@]2(C(C#N)=C(N)OC(c3c[nH]c4ccccc34)=C2C#N)c2ccccc21,30,-8.433,-4.648,3.785,1,0,2.7126435726596254,3.309862183387873,3.4060970332625633,3.1389972921300853,UNCLEAR
Nc1cc(Br)ccc1C#Cc1nc(Cl)nc(N)c1-c1ccc(Cl)cc1,25,-8.411,-7.062,1.3489999999999993,0,1,3.4061914152943524,1.1449528287839252,2.6317767762483206,3.2150940888253956,UNCLEAR
C#CC(C(=O)Nc1ccc(N2C(=O)c3c(F)c(F)c(F)c(F)c3C2=O)cc1F)C(C)(C)C,32,-8.379,-5.93,2.449,1,0,3.0123081990182095,3.4757793826719037,3.465396514109172,3.461266386743442,UNCLEAR
C#CC(C(=O)Nc1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1C)C(C)(C)C,29,-8.348,-6.139,2.2090000000000005,0,0,3.4227412541115143,2.68776196742524,3.4036969606591003,3.2450651765411433,UNCLEAR
COc1ccc(/C=C/[C@@H]2[C@@H](c3ccccc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,33,-8.267,-5.599,2.6679999999999993,1,3,3.1267506370651197,0.6522223089654405,3.374547821560692,2.9003851468382615,UNCLEAR
CCNCC(=O)N=S(C)(=O)c1ccc(C(=O)Nc2c(OC)cc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,38,-8.072,-6.596,1.475999999999999,1,0,3.1997937656335154,3.6436862026993544,2.827681205510977,3.40747134984287,UNCLEAR
CN1C[C@@H]2C[C@H]1CN2c1c(F)cc2c(=O)c(C(=O)O)cn(-c3ccc(F)cc3F)c2c1Cl,32,-8.008,-6.638,1.3699999999999992,0,0,3.318888091426311,1.4453108400820036,3.179208234765378,2.4712387581939543,UNCLEAR
C=C1CCN([C@@H](Cc2ccccc2)C(=O)Nc2nccs2)S(=O)(=O)c2ccccc21,30,-7.733,-6.278,1.455,1,0,0.8681277644619272,2.282604822155403,3.207874218232379,3.230590193757173,UNCLEAR
COc1cccc2c1-c1ccc3c(c1C(CC(=O)O)O2)C(C)=CC(C)(C)N3,27,-7.615,-5.969,1.646,0,0,4.118248258916896,3.157309243626187,3.484998852223628,4.091758668347878,UNCLEAR
COc1cc(Cl)c(N2C(=O)/C(=C3/C(=O)Nc4cc(F)cc(N)c43)c3ccccc32)c(N)c1N,33,-7.228,-5.247,1.981,0,0,6.894786177782605,1.4240889956043097,3.0896223070142415,2.758112035432934,WEAK
Cc1ccc(-n2c3nc(=O)[nH]c(=O)c-3cc3c(C)nn(-c4ccccc4)c32)c(C)c1,30,-7.159,-4.838,2.3209999999999997,0,0,2.6135429244317385,3.7936893163756498,3.299532239575787,5.224628025036805,WEAK
CS(=O)(=O)c1ccc2nc(-c3ccc(-c4cccs4)cc3)[nH]c2c1,24,-7.064,-5.295,1.769,0,0,5.096248555241935,3.274469811067027,4.756747313028097,4.1668536091396335,WEAK
COc1ccc(CC2=NN3C(=NN(C(C)=O)C3(C)c3ccc(C)cc3)N(N(C(C)=O)C(C)=O)C2=O)cc1,37,-6.701,-4.085,2.6159999999999997,0,0,2.577976248230975,3.465965571311989,2.9936080237733154,2.8280017680333938,WEAK
Cc1cc(Cl)ccc1C1C([N+](=O)[O-])C2CSCN2[C@@]12C(=O)Nc1ccccc12,28,-6.461,-1.047,5.414000000000001,2,0,1.88956873147422,2.173878978805743,2.65413149636562,2.5461329501815086,WEAK
COC1(c2ccc(NC(=O)c3cc(=O)c4cc(F)cc(-c5c(C)nn(C)c5C)c4o3)cn2)CCOCC1,37,-6.408,-4.133,2.2750000000000004,5,0,2.9431199178706735,3.975294591145435,3.060236592160809,3.8834273522238054,WEAK
Cc1cc(O)c2c(c1)[C@]1(C(=O)N2)C(c2ccc(Cl)cc2)C([N+](=O)[O-])C2CSCN21,29,-6.303,-1.263,5.04,4,3,1.6143925558501526,2.134902507778458,2.771252965717854,2.92662484784094,WEAK
C#CC(C(=O)Oc1ccc(C2C([N+](=O)[O-])C3CSCN3[C@@]23C(=O)Nc2ccc(C)cc23)c(N)c1)C(C)(C)C,38,-5.867,-4.298,1.569,2,1,3.5737353714779405,1.5769363422654796,3.0259472896929314,2.0618370449674233,WEAK
Cc1c(Cc2ccccc2)nnc(N2CCN(c3cnc(C(=O)NCC(O)CO)cn3)[C@H](C)C2)c1C,36,-5.864,-3.323,2.541,3,0,3.823971647474216,2.502018039626527,3.446677530608279,3.104222124784243,WEAK
O=C1Nc2ccccc2[C@@]12C(c1ccc(Cl)cc1)C([N+](=O)[O-])C1CSCN12,27,-5.132,-3.5,1.6319999999999997,3,0,0.8660803399221857,2.443167215236347,3.044156861924168,3.117397311861291,WEAK
O=C1Nc2ccccc2[C@]12N1CSC[C@H]1[C@H](c1cccs1)[C@]21Cc2ccccc2C1=O,31,-2.506,5.694,8.2,5,4,0.5643274835481388,2.53451115307223,2.9115950954760157,2.498292216695236,WEAK
