id,group,tier,status,exit_code,seconds,log,command
bo-coreg-r1-densify-every1,bo,full,pass,0,839.0,matrix_results_holo/logs/bo-coreg-r1-densify-every1.log,(reconstructed from console.log)
bo-coreg-r1-densify-every2-cap,bo,full,pass,0,979.6,matrix_results_holo/logs/bo-coreg-r1-densify-every2-cap.log,(reconstructed from console.log)
bo-coreg-r2-nodensify,bo,full,pass,0,959.3,matrix_results_holo/logs/bo-coreg-r2-nodensify.log,(reconstructed from console.log)
bo-coreg-r2-densify-every1,bo,full,pass,0,1162.0,matrix_results_holo/logs/bo-coreg-r2-densify-every1.log,(reconstructed from console.log)
bo-coreg-r2-densify-every2-cap,bo,full,pass,0,981.8,matrix_results_holo/logs/bo-coreg-r2-densify-every2-cap.log,(reconstructed from console.log)
launch-independent,bo,full,pass,0,1034.7,matrix_results_holo/logs/launch-independent.log,(reconstructed from console.log)
launch-coreg-r1,bo,full,pass,0,1025.0,matrix_results_holo/logs/launch-coreg-r1.log,(reconstructed from console.log)
launch-coreg-r2,bo,full,pass,0,972.6,matrix_results_holo/logs/launch-coreg-r2.log,(reconstructed from console.log)
profile-smoke-loop,bo,full,pass,0,26.2,matrix_results_holo/logs/profile-smoke-loop.log,(reconstructed from console.log)
profile-smoke-launch,bo,full,pass,0,24.6,matrix_results_holo/logs/profile-smoke-launch.log,(reconstructed from console.log)
baseline-random,baseline,full,pass,0,483.3,matrix_results_holo/logs/baseline-random.log,(reconstructed from console.log)
baseline-single-obj,baseline,full,pass,0,389.6,matrix_results_holo/logs/baseline-single-obj.log,(reconstructed from console.log)
baseline-greedy-default,baseline,full,pass,0,389.4,matrix_results_holo/logs/baseline-greedy-default.log,(reconstructed from console.log)
baseline-greedy-permissive,baseline,full,pass,0,382.0,matrix_results_holo/logs/baseline-greedy-permissive.log,(reconstructed from console.log)
harness-ablation,harness,full,pass,0,3658.4,matrix_results_holo/logs/harness-ablation.log,(reconstructed from console.log)
harness-seeds-band-std,harness,full,pass,0,2025.4,matrix_results_holo/logs/harness-seeds-band-std.log,(reconstructed from console.log)
harness-seeds-band-sem,harness,full,pass,0,1025.3,matrix_results_holo/logs/harness-seeds-band-sem.log,(reconstructed from console.log)
harness-seeds-band-ci95,harness,full,pass,0,1021.2,matrix_results_holo/logs/harness-seeds-band-ci95.log,(reconstructed from console.log)
harness-seeds-densify,harness,full,pass,0,935.6,matrix_results_holo/logs/harness-seeds-densify.log,(reconstructed from console.log)
harness-seeds-nocache,harness,full,pass,0,2856.1,matrix_results_holo/logs/harness-seeds-nocache.log,(reconstructed from console.log)
dryrun-rebuild-library,dryrun,full,pass,0,17.0,matrix_results_holo/logs/dryrun-rebuild-library.log,(reconstructed from console.log)
validate-docking,validate,full,pass,0,14.7,matrix_results_holo/logs/validate-docking.log,/opt/anaconda3/envs/mogp-drug/bin/python validate_docking.py --library-dir data/library --n-sample 20 --top-k 5 --seed 42 --output /Users/devansh/mogp-main-vscode/MOGP-NTD/matrix_results_holo/validate_docking_scatter.png
validate-known-actives,validate,full,pass,0,7.0,matrix_results_holo/logs/validate-known-actives.log,(reconstructed from console.log)
verification-harness,unit,full,pass,0,2.3,matrix_results_holo/logs/verification-harness.log,(reconstructed from console.log)
