rep,frac,n_hd,model,rmse,spearman
15,0.1,22,independent,2.2434760379934913,0.3383533858873764
16,1.0,225,ICM,0.948673232900682,0.5897749374826341
16,1.0,225,independent,0.9468761788805982,0.5968880244512366
16,0.75,169,ICM,0.9839551065940385,0.5297026951931093
16,0.75,169,independent,0.9396120142474995,0.5836065573770493
16,0.5,112,ICM,0.9578240554811683,0.5343150875243124
16,0.5,112,independent,0.9908508110492478,0.5520978049458184
16,0.25,56,ICM,1.0201079326280986,0.5015282022784109
16,0.25,56,independent,1.1135851562021055,0.33198110586273977
16,0.1,22,ICM,0.9905694704603835,0.5014726312864686
16,0.1,22,independent,1.1760677776222872,0.38305084745762724
17,1.0,225,ICM,1.8833346672918891,0.45805026470473104
17,1.0,225,independent,1.8927346114342807,0.4495477848139426
17,0.75,169,ICM,1.896731979461181,0.492171327795869
17,0.75,169,independent,1.9126914650280253,0.4638575140419035
17,0.5,112,ICM,1.964946529125599,0.4319871073924448
17,0.5,112,independent,1.9735709512969557,0.4703871963109731
17,0.25,56,ICM,2.032052224910672,0.3457675155587305
17,0.25,56,independent,2.0728835610452014,0.3056447019564477
17,0.1,22,ICM,1.9602508315037392,0.4836410620230845
17,0.1,22,independent,2.2583746514504606,0.16754886843612543
18,1.0,225,ICM,1.820562340989215,0.308562219566032
18,1.0,225,independent,1.8281800551108156,0.30870114897601225
18,0.75,169,ICM,1.8764494708910684,0.3096458689638776
18,0.75,169,independent,1.9812134700644897,0.2903902527406214
18,0.5,112,ICM,1.8020272930946952,0.38894677618057777
18,0.5,112,independent,1.8262249843469363,0.44557440368850876
18,0.25,56,ICM,2.02665498873523,0.21117270316990938
18,0.25,56,independent,2.180597359894283,-0.10202975868946146
18,0.1,22,ICM,2.1440876706840997,0.1332610900530112
18,0.1,22,independent,2.144163135772606,-0.16757665431812147
19,1.0,225,ICM,1.1764862793455164,0.36565712697971664
19,1.0,225,independent,1.1730880191325002,0.36104473464851355
19,0.75,169,ICM,1.1528088324416266,0.4146707418727425
19,0.75,169,independent,1.1474686428776204,0.4242845234787442
19,0.5,112,ICM,1.223421689319393,0.36721311475409846
19,0.5,112,independent,1.1825210877036516,0.3335926646290637
19,0.25,56,ICM,1.2664883582401758,0.2572936926924146
19,0.25,56,independent,1.2983191194369563,0.26996387885523765
19,0.1,22,ICM,1.559765703431417,0.3048068908030009
19,0.1,22,independent,1.7816573959525632,0.09158099472075579
